""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CCR5"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CCR5"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FCGR3A"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FCGR3A"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CD1C"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CD1D"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CD1D"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CD86"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CDC42"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CDC42"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"DCP1B"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"DCP1B"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"DCTN2"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"DCTN2"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CCL21"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CCL21"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FAS"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FAS"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FCER1A"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FCER1A"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FCER1G"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FCER1G"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FCGR1A"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"FCGR2A"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"HLA-DMA"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"HLA-DMB"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"HLA-DMB"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"HLA-DQB1"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"HLA-DRB1"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"ICAM2"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"ICAM2"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"LILRB4"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"LILRB4"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TAP1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TAP1"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CCL17"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CCL17"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR1"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR2"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR2"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR3"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR3"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR4"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR4"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR5"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR5"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR6"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR6"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR9"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR9"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CARD8"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CARD8"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CARD9"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CARD9"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"CARD10"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"CARD10"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"IRAK2"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"IRAK2"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"IRAK4"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"IRAK4"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"MYD88"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"MYD88"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"NOD1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"NOD1"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"NOD2"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"NOD2"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TIRAP"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TIRAP"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR7"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR7"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
""	"hipc_gene_17349694_13"	"2007.05"	"hipc_gene_17349694_13"	"peripheral blood mononuclear cell"	"TLR8"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"13"	"133"	"TLR8"	"hipc_gene_sig_17349694_13.txt"	"hipc_gene_sig_complete_17349694_13.txt"
